Timestamp (s),Power (W),Temperature (°C),Memory (MB),Inference Time (s)
34.1261,5.9730,61.49,117.00,0.007107
34.1976,5.9730,62.03,117.50,0.006709
34.2738,5.9730,62.03,117.00,0.006690
34.3456,5.9730,61.49,117.00,0.006990
34.4240,5.9730,62.03,117.00,0.006588
34.4977,5.9730,61.76,117.00,0.006821
34.5749,5.9730,61.76,117.00,0.006755
34.6468,5.9730,62.30,117.00,0.006548
34.7212,5.9730,62.30,117.00,0.006304
34.7918,5.9730,62.03,117.00,0.006574
34.8647,5.9730,62.30,117.00,0.006621
34.9368,5.9730,61.49,117.00,0.006360
35.0111,5.9730,61.76,117.00,0.006895
35.0874,5.9730,62.03,117.00,0.006278
35.1601,5.9730,62.03,117.00,0.006410
35.2314,5.9730,62.03,117.00,0.006558
35.3068,5.9730,62.03,117.00,0.006748
35.3791,5.9730,62.03,117.00,0.006934
35.4546,5.9730,62.03,117.00,0.006533
35.5284,5.9655,62.03,117.00,0.008099
35.6053,5.9580,62.30,117.00,0.006969
35.6798,5.9580,61.76,117.00,0.007416
35.7539,5.9580,61.76,117.00,0.006771
35.8260,5.9580,62.03,117.00,0.006839
35.9033,5.9580,62.03,117.00,0.006761
35.9751,5.9580,62.30,117.00,0.006769
36.0541,5.9580,62.30,117.00,0.007047
36.1258,5.9580,61.76,117.00,0.006648
36.2026,5.9580,61.49,117.00,0.006834
36.2772,5.9580,62.30,117.00,0.006873
36.3533,5.9580,61.76,117.00,0.006917
36.4255,5.9580,61.49,117.00,0.006680
36.5022,5.9580,61.76,117.00,0.006731
36.5770,5.9280,61.76,117.00,0.006624
36.6536,5.9280,62.03,117.00,0.006842
36.7284,5.9280,61.76,117.00,0.007251
36.8025,5.9280,62.03,117.00,0.006585
36.8762,5.9280,61.49,117.00,0.006414
36.9486,5.9280,61.49,117.00,0.006546
37.0217,5.9280,62.03,117.00,0.006684
37.0979,5.9280,61.76,117.00,0.007023
37.1701,5.9280,62.03,117.00,0.006827
37.2460,5.9280,62.30,117.00,0.006792
37.3183,5.9280,61.22,117.00,0.006823
37.3946,5.9280,62.30,117.00,0.006864
37.4708,5.9280,62.03,117.00,0.007071
37.5475,5.9145,62.03,117.00,0.006882
37.6221,5.9010,61.49,117.00,0.007188
37.7005,5.9010,61.22,117.00,0.007068
37.7742,5.9010,62.03,117.00,0.006941
37.8485,5.9010,62.03,117.00,0.006678
37.9195,5.9010,61.49,117.00,0.006583
37.9924,5.9010,61.76,117.00,0.006639
38.0656,5.9010,61.76,117.00,0.006638
38.1385,5.9010,62.03,117.00,0.006267
38.2114,5.9010,62.30,117.00,0.006369
38.2845,5.9010,62.03,117.00,0.006336
38.3580,5.9010,62.30,117.00,0.006659
38.4342,5.9010,62.30,117.00,0.006629
38.5104,5.9010,61.76,117.00,0.006828
38.5906,5.9730,62.03,117.00,0.006984
