Timestamp (s),Power (W),Temperature (°C),Memory (MB),Inference Time (s)
30.5315,6.6410,50.50,296.00,0.020680
30.5862,6.6410,50.25,296.00,0.020016
30.6403,6.6410,50.25,296.00,0.020041
30.6954,6.6410,50.38,296.00,0.019850
30.7495,6.6410,50.50,296.00,0.020125
30.8045,6.6410,50.38,296.00,0.020071
30.8592,6.6505,50.50,296.00,0.020012
30.9136,6.6600,50.38,296.00,0.019900
30.9662,6.6600,50.38,296.00,0.020201
31.0201,6.6600,50.38,295.00,0.020542
31.0728,6.6600,50.25,295.00,0.020500
31.1260,6.6600,50.38,295.00,0.019794
31.1782,6.6600,50.12,295.00,0.020156
31.2322,6.6600,50.25,295.00,0.020680
31.2852,6.6600,50.25,294.00,0.020689
31.3415,6.6600,50.25,294.00,0.021069
31.3963,6.6600,50.12,294.00,0.020736
31.4511,6.6600,50.38,294.50,0.021613
31.5043,6.6600,50.25,295.00,0.020954
31.5576,6.6600,50.25,294.00,0.020001
31.6128,6.6600,50.12,294.00,0.020764
31.6688,6.6600,50.12,294.00,0.020672
31.7242,6.6600,50.12,294.50,0.020909
31.7783,6.7250,50.25,294.50,0.020211
31.8317,6.7900,50.25,294.50,0.020588
31.8862,6.7900,50.25,294.50,0.020152
31.9409,6.7900,50.12,294.00,0.020426
31.9963,6.7900,50.00,294.00,0.020498
32.0499,6.7900,50.25,295.00,0.019942
32.1034,6.7900,50.25,295.00,0.020655
32.1556,6.7900,50.38,294.50,0.020535
32.2090,6.7900,50.38,294.00,0.019262
32.2633,6.7900,50.12,294.50,0.019945
32.3168,6.7900,50.50,295.00,0.019452
32.3693,6.7900,50.25,295.00,0.019188
32.4238,6.7900,50.50,295.50,0.019929
32.4776,6.7900,50.50,296.00,0.019928
32.5309,6.7900,50.25,296.00,0.019847
32.5842,6.7900,50.38,295.50,0.020833
32.6381,6.7900,50.25,295.00,0.020115
32.6905,6.7900,50.62,295.00,0.020062
32.7448,6.7900,50.25,295.00,0.020756
32.7996,6.7080,50.50,295.00,0.020200
