time	power_W	usage_c0	usage_c1	usage_c2	usage_c3	usage_c4	usage_c5	usage_c6	usage_c7	temp4	temp5	temp6	temp7
21.385	5.462	0.0950	0.0450	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	43.00	45.00	41.00
21.586	5.462	0.0000	0.0000	0.0000	0.0000	1.0000	0.0910	0.0500	0.0000	53.00	43.00	45.00	42.00
21.788	5.477	0.0950	0.0480	0.0480	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	43.00	45.00	42.00
21.990	5.477	0.0500	0.0000	0.0000	0.0000	1.0000	0.0500	0.0500	0.0000	53.00	43.00	45.00	41.00
22.192	5.477	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0480	0.0000	53.00	43.00	45.00	41.00
22.393	5.477	0.0950	0.0000	0.0000	0.0000	1.0000	0.0000	0.0500	0.0480	53.00	43.00	45.00	42.00
22.595	5.477	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0910	0.0480	53.00	43.00	45.00	42.00
22.797	5.462	0.0950	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	43.00	45.00	42.00
22.999	5.462	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0500	0.0000	53.00	43.00	45.00	42.00
23.200	5.462	0.0480	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	43.00	45.00	42.00
23.402	5.462	0.0500	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	43.00	45.00	42.00
23.604	5.462	0.0500	0.0000	0.0000	0.0000	1.0000	0.0480	0.0000	0.0000	53.00	43.00	45.00	42.00
23.805	5.443	0.0530	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	43.00	45.00	42.00
24.007	5.443	0.0480	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	43.00	45.00	42.00
24.209	5.443	0.0500	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	43.00	45.00	42.00
24.411	5.443	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	43.00	45.00	42.00
24.612	5.443	0.0910	0.0000	0.0000	0.0480	1.0000	0.0000	0.0000	0.0000	53.00	43.00	45.00	42.00
24.814	5.477	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	43.00	45.00	42.00
25.016	5.477	0.0500	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	43.00	45.00	42.00
25.218	5.477	0.0500	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	43.00	45.00	42.00
25.419	5.477	0.0500	0.0480	0.0000	0.0000	1.0000	0.0480	0.0000	0.0000	53.00	43.00	45.00	42.00
25.621	5.477	0.0500	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	43.00	45.00	42.00
25.823	5.473	0.0500	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	43.00	45.00	42.00
26.025	5.473	0.0500	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	43.00	45.00	42.00
26.226	5.473	0.0480	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	43.00	45.00	42.00
26.428	5.473	0.0500	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	43.00	45.00	42.00
26.629	5.473	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	43.00	45.00	42.00
26.831	5.477	0.0950	0.0000	0.0000	0.0000	1.0000	0.0480	0.0000	0.0000	53.00	43.00	45.00	42.00
27.033	5.477	0.0500	0.0000	0.0000	0.0000	1.0000	0.0950	0.0480	0.0000	53.00	43.00	45.00	42.00
27.235	5.477	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	53.00	43.00	45.00	42.00
27.436	5.477	0.0950	0.0000	0.0000	0.0000	1.0000	0.0000	0.0480	0.0480	53.00	43.00	45.00	42.00
27.638	5.477	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0480	0.0500	53.00	43.00	45.00	42.00
27.840	5.485	0.0950	0.0480	0.0000	0.0000	1.0000	0.0000	0.0480	0.0480	53.00	43.00	45.00	42.00
28.042	5.485	0.0500	0.0000	0.0000	0.0480	0.7500	0.0480	0.0500	0.0480	44.00	42.00	45.00	41.00
28.243	5.485	0.0500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0910	39.00	39.00	43.00	40.00
28.445	5.485	0.0500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	38.00	38.00	42.00	39.00
28.646	5.485	0.0000	0.0000	0.0000	0.0000	0.0000	0.0480	0.0000	0.0000	37.00	37.00	41.00	38.00
28.848	2.828	0.0950	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	36.00	37.00	41.00	38.00
29.050	2.828	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	36.00	36.00	40.00	37.00
29.251	2.828	0.0480	0.0480	0.0000	0.0000	0.0000	0.0480	0.0480	0.0000	35.00	36.00	40.00	37.00
29.452	2.828	0.0500	0.0480	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	35.00	35.00	40.00	37.00
29.654	2.828	0.0500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	35.00	35.00	40.00	36.00
29.855	2.710	0.0530	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	35.00	35.00	39.00	36.00
30.057	2.710	0.0950	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	35.00	35.00	39.00	36.00
30.258	2.710	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	34.00	34.00	39.00	36.00
30.460	2.710	0.0500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	34.00	34.00	39.00	36.00
30.661	2.710	0.0950	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	34.00	34.00	38.00	36.00
30.863	2.782	0.0000	0.0000	0.0000	0.0480	0.0000	0.0000	0.0000	0.0000	34.00	34.00	39.00	35.00
31.064	2.782	0.0480	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	34.00	34.00	38.00	35.00
31.266	2.782	0.0500	0.0000	0.0000	0.0000	0.0000	0.0480	0.0000	0.0000	34.00	34.00	38.00	35.00
31.467	2.782	0.0500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	34.00	34.00	38.00	35.00
31.669	2.763	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0500	0.0000	34.00	34.00	38.00	35.00
