Timestamp (s),Power (W),Temperature (°C),Memory (MB),Inference Time (s)
40.7163,6.7860,55.84,154.00,0.047355
40.8328,6.7860,56.65,154.00,0.046633
40.9493,6.7880,56.11,154.00,0.046210
41.0658,6.7900,56.11,154.00,0.045494
41.1824,6.7900,55.84,154.00,0.046611
41.2955,6.7900,56.11,154.00,0.043260
41.4099,6.7900,56.38,154.00,0.044314
41.5262,6.7900,55.84,154.00,0.046025
41.6427,6.7900,56.11,154.00,0.046003
41.7600,6.7900,55.84,154.00,0.046584
41.8765,6.7900,56.11,154.00,0.046121
41.9933,6.8320,56.38,154.00,0.045551
42.1082,6.8320,56.38,154.00,0.044311
42.2208,6.8320,56.38,154.00,0.043197
42.3337,6.8320,56.38,154.00,0.043541
42.4501,6.8320,56.38,154.00,0.046515
42.5674,6.8320,56.11,154.00,0.047021
42.6830,6.8320,55.84,154.00,0.045484
42.7984,6.8320,56.11,154.00,0.045105
42.9155,6.8130,56.65,154.00,0.046873
43.0321,6.7940,56.11,154.00,0.045882
43.1493,6.7940,56.38,154.00,0.046848
43.2684,6.7940,56.11,153.50,0.047250
43.3845,6.7940,56.65,153.50,0.046135
43.5010,6.7940,55.84,154.00,0.045973
43.6162,6.7940,56.11,154.00,0.045299
43.7346,6.7940,56.38,154.00,0.046118
43.8511,6.7940,56.38,154.00,0.046189
43.9680,6.8205,56.38,154.00,0.046882
44.0845,6.8470,56.38,154.00,0.046381
44.2025,6.8470,56.38,154.00,0.047532
44.3185,6.8470,56.38,154.00,0.045872
44.4350,6.8470,56.65,153.50,0.046283
44.5480,6.8470,56.11,153.00,0.042919
44.6605,6.8470,56.38,154.00,0.043293
44.7747,6.8470,56.38,154.00,0.045227
44.8924,6.8470,56.65,154.00,0.047352
45.0086,6.8470,56.38,154.00,0.046090
45.1253,6.8470,56.65,154.00,0.046303
45.2410,6.8470,56.38,154.00,0.045218
45.3582,6.8470,56.38,154.00,0.045287
45.4743,6.8470,56.38,154.00,0.046057
45.5914,6.8470,55.84,154.00,0.046226
45.7085,6.8470,56.11,154.00,0.046987
45.8245,6.8470,56.38,154.00,0.045885
45.9372,6.8470,56.38,154.00,0.042716
46.0494,6.8470,56.92,154.00,0.043335
46.1662,6.8340,56.38,154.00,0.047276
46.2845,6.8210,56.38,154.00,0.045868
46.4012,6.8210,56.65,154.00,0.046498
46.5172,6.8210,56.38,154.00,0.046076
46.6340,6.8210,56.38,154.00,0.046849
46.7510,6.8210,56.38,154.00,0.047264
46.8677,6.8210,56.65,154.00,0.046577
46.9846,6.8050,56.38,154.00,0.046098
47.1005,6.8050,56.65,154.00,0.045778
47.2171,6.8050,56.92,154.00,0.046123
47.3343,6.8050,55.84,154.00,0.047022
47.4509,6.8050,56.65,154.00,0.046396
47.5667,6.8050,56.65,154.00,0.045808
47.6828,6.8050,56.92,154.00,0.046001
47.7995,6.8050,56.38,154.00,0.046322
47.9161,6.7880,56.65,154.00,0.046247
48.0329,6.7710,56.65,154.00,0.046176
48.1496,6.7710,56.38,154.00,0.046261
48.2674,6.7710,56.38,154.00,0.046939
48.3849,6.7710,56.65,154.00,0.047052
48.5018,6.7710,56.38,154.00,0.047069
48.6178,6.7710,56.65,154.00,0.045934
