Timestamp (s),Power (W),Temperature (°C),Memory (MB),Inference Time (s)
31.8954,5.9920,61.49,119.00,0.016914
31.9810,5.9920,62.03,119.00,0.017219
32.0658,5.9920,61.22,119.00,0.017271
32.1493,5.9920,61.22,119.00,0.017626
32.2346,5.9920,61.49,119.00,0.017371
32.3179,5.9920,61.76,119.00,0.017651
32.4023,5.9920,61.49,119.00,0.016766
32.4839,5.9920,62.03,119.00,0.016355
32.5694,5.9920,62.03,119.00,0.016336
32.6540,5.9920,61.49,119.00,0.017265
32.7384,5.9920,61.49,119.00,0.017499
32.8235,5.9920,62.03,119.00,0.017711
32.9102,5.9920,61.76,119.00,0.017196
32.9926,5.9920,61.22,119.00,0.016624
33.0822,5.9920,61.49,119.00,0.017366
33.1645,5.9920,61.49,119.00,0.016662
33.2496,5.9920,61.49,119.00,0.016748
33.3337,5.9920,61.76,119.00,0.016665
33.4175,5.9920,61.49,119.00,0.016978
33.5019,5.9920,62.03,119.00,0.017899
33.5893,5.9160,61.49,119.00,0.017535
33.6759,5.8400,62.03,119.00,0.017476
33.7645,5.8400,62.03,119.00,0.017456
33.8480,5.8400,61.76,119.00,0.017760
33.9344,5.8400,61.49,119.00,0.017132
34.0178,5.8400,62.03,119.00,0.017879
34.1021,5.8400,61.76,119.00,0.016804
34.1874,5.8400,61.76,119.00,0.017548
34.2745,5.8400,62.03,119.00,0.017541
34.3578,5.8400,62.03,119.00,0.017094
34.4454,5.8400,62.03,119.00,0.017758
34.5306,5.8455,61.76,119.00,0.017229
34.6158,5.8510,61.76,119.00,0.017051
34.7013,5.8510,62.03,119.00,0.017203
34.7889,5.8510,61.76,119.00,0.017352
34.8758,5.8510,61.76,119.00,0.017650
34.9610,5.8510,62.03,119.00,0.017195
35.0464,5.8510,62.03,119.00,0.017665
35.1335,5.8510,62.30,119.00,0.016977
35.2188,5.8510,61.22,119.00,0.017589
35.3060,5.8510,61.49,119.00,0.017349
35.3897,5.8510,62.03,119.00,0.017577
35.4773,5.8510,61.76,119.00,0.017178
35.5626,6.0230,61.49,119.00,0.018267
35.6473,6.0230,62.03,119.00,0.017211
35.7329,6.0230,62.03,119.00,0.017071
35.8220,6.0230,61.76,119.00,0.017172
35.9046,6.0230,62.30,119.00,0.017026
35.9895,6.0230,61.49,119.00,0.017272
36.0744,6.0230,61.22,119.00,0.016811
36.1619,6.0230,61.49,119.00,0.017243
36.2472,6.0230,61.49,119.00,0.017067
36.3318,6.0230,61.76,119.00,0.017606
36.4154,6.0230,62.03,119.00,0.017738
36.5027,5.9735,61.76,119.00,0.017581
36.5877,5.9240,61.76,119.00,0.017243
36.6746,5.9240,62.03,119.00,0.016944
36.7610,5.9240,61.76,119.00,0.017473
36.8467,5.9240,61.49,119.00,0.017596
36.9318,5.9240,61.76,119.00,0.016889
37.0190,5.9240,62.03,119.00,0.017565
37.1048,5.9240,61.49,119.00,0.017177
37.1942,5.9240,61.49,119.00,0.017403
37.2793,5.9240,62.03,119.00,0.016901
